"","logFC","logCPM","F","PValue","FDR","neglogFC","DE","top30"
"VAV1",-1.93955180048915,3.10561174344945,109.295902621756,3.18539032367903e-12,4.96724116639359e-10,1.93955180048915,"UP",NA
"CCL13",-2.17643891448638,1.79336899697826,72.8159550179613,3.19750399669654e-12,4.96724116639359e-10,2.17643891448638,"UP",NA
"PRF1",-2.67561304067366,3.35115270870582,104.797235967498,3.25428289653596e-12,5.0003663107861e-10,2.67561304067366,"UP",NA
"MS4A7",-2.2612029203828,4.69847720123097,113.571709176121,3.29396038819659e-12,5.0003663107861e-10,2.2612029203828,"UP",NA
"P2RY10",-2.42983885937725,1.98197048040581,73.6822748947543,3.3006618493542e-12,5.0003663107861e-10,2.42983885937725,"UP",NA
"APOBEC3G",-1.42069868957975,3.42224792222311,113.571014262378,3.5393312910949e-12,5.3179903194312e-10,1.42069868957975,"UP",NA
"IL12RB2",-1.3702608365745,1.65189603118542,71.5795136367154,3.63817224747554e-12,5.42205979418488e-10,1.3702608365745,"UP",NA
"NKG7",-2.4485837582064,2.96708047537221,98.2148290483351,3.92451318682007e-12,5.80163316351602e-10,2.4485837582064,"UP",NA
"PIK3R6",-1.77699959968703,1.91194070661008,75.6541119875699,4.18559825052934e-12,6.13278829521407e-10,1.77699959968703,"UP",NA
"FMNL1-AS1",-1.77385883014297,2.01708682858214,78.9818096707975,4.21543464730224e-12,6.13278829521407e-10,1.77385883014297,"UP",NA
"B2M",-1.4163143947415,10.6919664820488,110.020982766869,4.2753768723716e-12,6.17101838168849e-10,1.4163143947415,"UP",NA
"PLEKHO2",-1.29714356985399,4.84599705321309,110.204564325688,4.40587357243353e-12,6.3096928481468e-10,1.29714356985399,"UP",NA
"PLAC8",-2.27386341141485,2.09466061894096,75.4688288180708,4.52450120712597e-12,6.42935128897877e-10,2.27386341141485,"UP",NA
"PDCD1LG2",-1.58845545762865,2.28826182324025,90.5361664867242,4.66014370851368e-12,6.55529849843946e-10,1.58845545762865,"UP",NA
"CST7",-2.30562905535724,2.45015629554061,84.8941313543198,4.68465497406344e-12,6.55529849843946e-10,2.30562905535724,"UP",NA
"LY86",-1.48980450083106,2.27202463307122,91.1857880684599,4.76811327067269e-12,6.61649583209901e-10,1.48980450083106,"UP",NA
"S1PR5",-2.02902070877324,1.71807083674138,70.7988085710558,4.80057795902661e-12,6.61649583209901e-10,2.02902070877324,"UP",NA
"SNX20",-2.1999595226177,2.87255560214278,98.1095159752284,4.90064127374945e-12,6.70400411858964e-10,2.1999595226177,"UP",NA
"TNFSF13B",-1.75505422625509,3.05918501329565,106.518810770406,5.03174102612129e-12,6.82719321161612e-10,1.75505422625509,"UP",NA
"STX11",-1.55813598810821,2.47578410263411,96.48584138234,5.06518071452617e-12,6.82719321161612e-10,1.55813598810821,"UP",NA
"EMB",-2.24386412708987,3.98497461610583,109.933729163858,5.21623062661211e-12,6.97946887711143e-10,2.24386412708987,"UP",NA
"CXCR6",-2.0328766614318,1.88359824547885,71.974239991139,5.43281031299234e-12,7.21658303242483e-10,2.0328766614318,"UP",NA
"MIR7847",-1.90105170453692,1.71994222574226,70.1082711072135,5.48243974342954e-12,7.23011531919474e-10,1.90105170453692,"UP",NA
"LAPTM5",-1.90193691484381,5.95428981489463,107.784450047968,5.65655143604475e-12,7.37679299866265e-10,1.90193691484381,"UP",NA
"SLAMF6",-2.57755907060954,2.46472514565149,80.1287178273856,5.67414659762933e-12,7.37679299866265e-10,2.57755907060954,"UP",NA
"PTAFR",-1.73325861733751,3.44532897704554,108.743801239563,5.72421643022536e-12,7.3894796748212e-10,1.73325861733751,"UP",NA
"FERMT3",-1.549638070898,4.13480121293804,108.668081769629,5.92648914693529e-12,7.59709598269027e-10,1.549638070898,"UP",NA
"CD8A",-2.63519657254815,3.09674991997726,95.3934869611318,6.0414092479459e-12,7.69063006417335e-10,2.63519657254815,"UP",NA
"LCP1",-2.50406658487127,6.11037402259297,107.124051560586,6.17408293194823e-12,7.80531822245124e-10,2.50406658487127,"UP",NA
"NCKAP1L",-2.13075539149585,4.38019955398912,108.13723025892,6.38795373417811e-12,7.97332039321123e-10,2.13075539149585,"UP",NA
"SCIMP",-1.72056322454956,2.93281299447688,103.069574795497,6.39396703836153e-12,7.97332039321123e-10,1.72056322454956,"UP",NA
"RASGRP4",-1.47597317670609,2.1900284031594,86.4818519892308,6.56958322339015e-12,8.13696149107871e-10,1.47597317670609,"UP",NA
"APOL1",-1.51339938027619,6.21343240178377,106.077538002844,6.88267363560092e-12,8.45903573933899e-10,1.51339938027619,"UP",NA
"PCED1B-AS1",-1.8672684427748,2.05248718383424,76.6524026533477,6.92191021166793e-12,8.45903573933899e-10,1.8672684427748,"UP",NA
"PVT1",-1.4781663796564,1.50823481334213,67.625777294702,7.05491047801886e-12,8.56299106535442e-10,1.4781663796564,"UP",NA
"GZMM",-2.13996345485776,1.80444226276884,69.5588458554588,7.1004017344055e-12,8.56299106535442e-10,2.13996345485776,"UP",NA
"HLA-DMA",-1.21602136857861,5.96344947742171,105.633057702399,7.26725708464752e-12,8.70693396200481e-10,1.21602136857861,"UP",NA
"LILRB1",-2.12514985519018,3.50668751049732,105.457403544148,7.31680291968054e-12,8.70937105978338e-10,2.12514985519018,"UP",NA
"ICAM1",-1.63190335114083,5.40000981383569,105.426381958307,7.60120812327514e-12,8.98953200695204e-10,1.63190335114083,"UP",NA
"LY96",-1.56946128333887,2.27544001413336,86.8058355433251,8.31484519191088e-12,9.77047610339221e-10,1.56946128333887,"UP",NA
"POU2F2",-1.93014133853847,3.0065051782251,100.118070340836,8.39011008052072e-12,9.79612152140288e-10,1.93014133853847,"UP",NA
"PSMB9",-1.51390838925224,4.66626955301389,104.774951390558,8.65740992368274e-12,1.00442393234828e-09,1.51390838925224,"UP",NA
"SASH3",-2.2094455916245,3.63974585771115,104.331694399758,8.88748265861011e-12,1.01872748765662e-09,2.2094455916245,"UP",NA
"NOD2",-1.95380962469765,2.26962254650554,81.052460099778,8.89184430882437e-12,1.01872748765662e-09,1.95380962469765,"UP",NA
"BMAL2",-2.19201403393211,2.50444489367385,84.5011292078928,9.01156354533756e-12,1.02603087794772e-09,2.19201403393211,"UP",NA
"PTPRN2-AS1",-1.48617763074173,1.46420857825649,67.1300867311721,9.12357436034612e-12,1.03237186172534e-09,1.48617763074173,"UP",NA
"ISG20",-1.87188038400461,2.82906876679097,96.7834992219125,9.30861164963283e-12,1.04684760827865e-09,1.87188038400461,"UP",NA
"ITGAL",-2.46685216434374,4.87696889336221,104.461950692219,9.52041073383476e-12,1.06413810464588e-09,2.46685216434374,"UP",NA
"MYO1G",-2.42705045246174,3.32805455093476,98.9474551192631,9.74108826581406e-12,1.08220538788265e-09,2.42705045246174,"UP",NA
"IL7",-1.16370453402048,2.13343089101283,85.5220644869572,1.00999236724394e-11,1.11531145084029e-09,1.16370453402048,"UP",NA
"BCL2A1",-1.99237528092844,1.66314174106495,67.8336353456386,1.01611600319766e-11,1.11535463800097e-09,1.99237528092844,"UP",NA
"WIPF1",-1.30361877289833,5.44956718433911,102.775232278099,1.04149496381514e-11,1.13640739176757e-09,1.30361877289833,"UP",NA
"AOAH",-2.18433709688727,3.70382789714761,103.14865647109,1.07994738861608e-11,1.17139145448055e-09,2.18433709688727,"UP",NA
"DOCK2",-2.2287579899422,3.97389864737911,103.361894842392,1.13822722128137e-11,1.22734371725346e-09,2.2287579899422,"UP",NA
"TIFAB",-2.3503367258137,1.92448062881493,68.1693013514222,1.14618979648469e-11,1.22870205610298e-09,2.3503367258137,"UP",NA
"SIT1",-2.06399801775623,1.97425588880875,70.3774689384236,1.15750296477814e-11,1.23361551438071e-09,2.06399801775623,"UP",NA
"CD96",-2.44602702504406,2.62897342263734,82.5803653570365,1.16827344900692e-11,1.23789714414716e-09,2.44602702504406,"UP",NA
"MCUB",-1.50327562233593,2.5903588025101,94.0665878693407,1.19824040911269e-11,1.26235315743936e-09,1.50327562233593,"UP",NA
"HCK",-1.73490819417597,3.59576348130826,102.818652172966,1.22258480223924e-11,1.28064011484843e-09,1.73490819417597,"UP",NA
"BTN3A3",-1.36247411827532,5.01217585747497,101.473672767949,1.25018537369993e-11,1.3021106866644e-09,1.36247411827532,"UP",NA
"KLRD1",-2.55001326839171,3.01023934092992,89.5647840918485,1.29761942486465e-11,1.33469185619911e-09,2.55001326839171,"UP","KLRD1"
"LAIR1",-1.76229056377218,4.09132915637084,102.259669516033,1.30717351452119e-11,1.33469185619911e-09,1.76229056377218,"UP",NA
"CLEC4F",-2.212223544796,2.07983108662166,70.9236674662314,1.31396845831469e-11,1.33469185619911e-09,2.212223544796,"UP",NA
"CD38",-1.92422151362345,2.96469040277637,96.1095937771889,1.31787242832776e-11,1.33469185619911e-09,1.92422151362345,"UP",NA
"PLB1",-1.51546108035306,2.19305235770845,82.0674919944812,1.31787259817816e-11,1.33469185619911e-09,1.51546108035306,"UP",NA
"CD274",-1.39937619964732,2.62543254393769,95.0478071139847,1.34418149236748e-11,1.35385664486749e-09,1.39937619964732,"UP",NA
"IL2RB",-2.58501650451158,3.4926133274198,97.0361984660484,1.38441763464004e-11,1.38676282298287e-09,2.58501650451158,"UP",NA
"ITGB2",-1.95582278885791,5.72879419550351,100.301991412735,1.42335698240577e-11,1.41801939372175e-09,1.95582278885791,"UP",NA
"HLA-DOB",-2.26973206602792,2.47319844419824,79.875333419384,1.44060363740115e-11,1.42744352849733e-09,2.26973206602792,"UP",NA
"MNDA",-1.92623058177302,3.2348061361382,98.3344174592832,1.5440069714742e-11,1.52167697817707e-09,1.92623058177302,"UP",NA
"TAP2",-1.25565700017122,6.03739383115278,99.0713857272097,1.63796952083941e-11,1.60564809018756e-09,1.25565700017122,"UP",NA
"FAM225A",-1.4002326890565,1.47432978331705,64.1633090051852,1.64790261127343e-11,1.60679270038581e-09,1.4002326890565,"UP",NA
